,cat_level_0,cat_level_1,cat_level_2,cat_level_3,cat_level_4,cat_level_5
0,Home Furnishing,Home Furnishing/Curtains & Accessories,Home Furnishing/Curtains & Accessories/Curtains,Home Furnishing/Curtains & Accessories/Curtains/Elegance Polyester Multicolor Abstract Eyelet Do...,Home Furnishing/Curtains & Accessories/Curtains/Elegance Polyester Multicolor Abstract Eyelet Do.../,Home Furnishing/Curtains & Accessories/Curtains/Elegance Polyester Multicolor Abstract Eyelet Do...//
1,Baby Care,Baby Care/Baby Bath & Skin,Baby Care/Baby Bath & Skin/Baby Bath Towels,Baby Care/Baby Bath & Skin/Baby Bath Towels/Sathiyas Baby Bath Towels,"Baby Care/Baby Bath & Skin/Baby Bath Towels/Sathiyas Baby Bath Towels/Sathiyas Cotton Bath Towel (3 Bath Towel, Red, Y...","Baby Care/Baby Bath & Skin/Baby Bath Towels/Sathiyas Baby Bath Towels/Sathiyas Cotton Bath Towel (3 Bath Towel, Red, Y.../"
2,Baby Care,Baby Care/Baby Bath & Skin,Baby Care/Baby Bath & Skin/Baby Bath Towels,Baby Care/Baby Bath & Skin/Baby Bath Towels/Eurospa Baby Bath Towels,Baby Care/Baby Bath & Skin/Baby Bath Towels/Eurospa Baby Bath Towels/Eurospa Cotton Terry Face Towel Set (20 PIECE FA...,Baby Care/Baby Bath & Skin/Baby Bath Towels/Eurospa Baby Bath Towels/Eurospa Cotton Terry Face Towel Set (20 PIECE FA.../
3,Home Furnishing,Home Furnishing/Bed Linen,Home Furnishing/Bed Linen/Bedsheets,Home Furnishing/Bed Linen/Bedsheets/SANTOSH ROYAL FASHION Bedsheets,Home Furnishing/Bed Linen/Bedsheets/SANTOSH ROYAL FASHION Bedsheets/SANTOSH ROYAL FASHION Cotton Printed King sized ...,Home Furnishing/Bed Linen/Bedsheets/SANTOSH ROYAL FASHION Bedsheets/SANTOSH ROYAL FASHION Cotton Printed King sized .../
4,Home Furnishing,Home Furnishing/Bed Linen,Home Furnishing/Bed Linen/Bedsheets,Home Furnishing/Bed Linen/Bedsheets/Jaipur Print Bedsheets,Home Furnishing/Bed Linen/Bedsheets/Jaipur Print Bedsheets/Jaipur Print Cotton Floral King sized Double Bed...,Home Furnishing/Bed Linen/Bedsheets/Jaipur Print Bedsheets/Jaipur Print Cotton Floral King sized Double Bed.../
5,Watches,Watches/Wrist Watches,Watches/Wrist Watches/Maserati Time Wrist Watches,Watches/Wrist Watches/Maserati Time Wrist Watches/,Watches/Wrist Watches/Maserati Time Wrist Watches//,Watches/Wrist Watches/Maserati Time Wrist Watches///
6,Watches,Watches/Wrist Watches,Watches/Wrist Watches/Camerii Wrist Watches,Watches/Wrist Watches/Camerii Wrist Watches/,Watches/Wrist Watches/Camerii Wrist Watches//,Watches/Wrist Watches/Camerii Wrist Watches///
7,Watches,Watches/Wrist Watches,Watches/Wrist Watches/T STAR Wrist Watches,Watches/Wrist Watches/T STAR Wrist Watches/,Watches/Wrist Watches/T STAR Wrist Watches//,Watches/Wrist Watches/T STAR Wrist Watches///
8,Watches,Watches/Wrist Watches,Watches/Wrist Watches/Alfajr Wrist Watches,Watches/Wrist Watches/Alfajr Wrist Watches/,Watches/Wrist Watches/Alfajr Wrist Watches//,Watches/Wrist Watches/Alfajr Wrist Watches///
9,Watches,Watches/Wrist Watches,Watches/Wrist Watches/TAG Heuer Wrist Watches,Watches/Wrist Watches/TAG Heuer Wrist Watches/,Watches/Wrist Watches/TAG Heuer Wrist Watches//,Watches/Wrist Watches/TAG Heuer Wrist Watches///
10,Watches,Watches/Wrist Watches,Watches/Wrist Watches/Calibro Wrist Watches,Watches/Wrist Watches/Calibro Wrist Watches/,Watches/Wrist Watches/Calibro Wrist Watches//,Watches/Wrist Watches/Calibro Wrist Watches///
11,Watches,Watches/Wrist Watches,Watches/Wrist Watches/Cartier Wrist Watches,Watches/Wrist Watches/Cartier Wrist Watches/,Watches/Wrist Watches/Cartier Wrist Watches//,Watches/Wrist Watches/Cartier Wrist Watches///
12,Watches,Watches/Wrist Watches,Watches/Wrist Watches/Lois Caron Wrist Watches,Watches/Wrist Watches/Lois Caron Wrist Watches/,Watches/Wrist Watches/Lois Caron Wrist Watches//,Watches/Wrist Watches/Lois Caron Wrist Watches///
13,Watches,Watches/Wrist Watches,Watches/Wrist Watches/Titan Wrist Watches,Watches/Wrist Watches/Titan Wrist Watches/,Watches/Wrist Watches/Titan Wrist Watches//,Watches/Wrist Watches/Titan Wrist Watches///
14,Watches,Watches/Wrist Watches,Watches/Wrist Watches/Srushti Art Jewelry Wrist Watches,Watches/Wrist Watches/Srushti Art Jewelry Wrist Watches/,Watches/Wrist Watches/Srushti Art Jewelry Wrist Watches//,Watches/Wrist Watches/Srushti Art Jewelry Wrist Watches///
15,Watches,Watches/Wrist Watches,Watches/Wrist Watches/Escort Wrist Watches,Watches/Wrist Watches/Escort Wrist Watches/,Watches/Wrist Watches/Escort Wrist Watches//,Watches/Wrist Watches/Escort Wrist Watches///
16,Watches,Watches/Wrist Watches,Watches/Wrist Watches/Jack klein Wrist Watches,Watches/Wrist Watches/Jack klein Wrist Watches/,Watches/Wrist Watches/Jack klein Wrist Watches//,Watches/Wrist Watches/Jack klein Wrist Watches///
17,Watches,Watches/Wrist Watches,Watches/Wrist Watches/North Moon Wrist Watches,Watches/Wrist Watches/North Moon Wrist Watches/,Watches/Wrist Watches/North Moon Wrist Watches//,Watches/Wrist Watches/North Moon Wrist Watches///
18,Watches,Watches/Wrist Watches,Watches/Wrist Watches/Franck Bella Wrist Watches,Watches/Wrist Watches/Franck Bella Wrist Watches/,Watches/Wrist Watches/Franck Bella Wrist Watches//,Watches/Wrist Watches/Franck Bella Wrist Watches///
19,Watches,Watches/Wrist Watches,Watches/Wrist Watches/Ridas Wrist Watches,Watches/Wrist Watches/Ridas Wrist Watches/,Watches/Wrist Watches/Ridas Wrist Watches//,Watches/Wrist Watches/Ridas Wrist Watches///
20,Watches,Watches/Wrist Watches,Watches/Wrist Watches/Skmei Wrist Watches,Watches/Wrist Watches/Skmei Wrist Watches/,Watches/Wrist Watches/Skmei Wrist Watches//,Watches/Wrist Watches/Skmei Wrist Watches///
21,Watches,Watches/Wrist Watches,Watches/Wrist Watches/Now Wrist Watches,Watches/Wrist Watches/Now Wrist Watches/,Watches/Wrist Watches/Now Wrist Watches//,Watches/Wrist Watches/Now Wrist Watches///
22,Watches,Watches/Wrist Watches,Watches/Wrist Watches/Franck Bella Wrist Watches,Watches/Wrist Watches/Franck Bella Wrist Watches/,Watches/Wrist Watches/Franck Bella Wrist Watches//,Watches/Wrist Watches/Franck Bella Wrist Watches///
23,Watches,Watches/Wrist Watches,Watches/Wrist Watches/Skmei Wrist Watches,Watches/Wrist Watches/Skmei Wrist Watches/,Watches/Wrist Watches/Skmei Wrist Watches//,Watches/Wrist Watches/Skmei Wrist Watches///
24,Watches,Watches/Wrist Watches,Watches/Wrist Watches/fastrack Wrist Watches,Watches/Wrist Watches/fastrack Wrist Watches/,Watches/Wrist Watches/fastrack Wrist Watches//,Watches/Wrist Watches/fastrack Wrist Watches///
25,Watches,Watches/Wrist Watches,Watches/Wrist Watches/Alfajr Wrist Watches,Watches/Wrist Watches/Alfajr Wrist Watches/,Watches/Wrist Watches/Alfajr Wrist Watches//,Watches/Wrist Watches/Alfajr Wrist Watches///
26,Watches,Watches/Wrist Watches,Watches/Wrist Watches/Disney Wrist Watches,Watches/Wrist Watches/Disney Wrist Watches/,Watches/Wrist Watches/Disney Wrist Watches//,Watches/Wrist Watches/Disney Wrist Watches///
27,Watches,Watches/Wrist Watches,Watches/Wrist Watches/Disney Wrist Watches,Watches/Wrist Watches/Disney Wrist Watches/,Watches/Wrist Watches/Disney Wrist Watches//,Watches/Wrist Watches/Disney Wrist Watches///
28,Watches,Watches/Wrist Watches,Watches/Wrist Watches/Vizion Wrist Watches,Watches/Wrist Watches/Vizion Wrist Watches/,Watches/Wrist Watches/Vizion Wrist Watches//,Watches/Wrist Watches/Vizion Wrist Watches///
29,Watches,Watches/Wrist Watches,Watches/Wrist Watches/Elantra Wrist Watches,Watches/Wrist Watches/Elantra Wrist Watches/,Watches/Wrist Watches/Elantra Wrist Watches//,Watches/Wrist Watches/Elantra Wrist Watches///
30,Watches,Watches/Wrist Watches,Watches/Wrist Watches/Marvel Wrist Watches,Watches/Wrist Watches/Marvel Wrist Watches/,Watches/Wrist Watches/Marvel Wrist Watches//,Watches/Wrist Watches/Marvel Wrist Watches///
31,Watches,Watches/Wrist Watches,Watches/Wrist Watches/Lenco Wrist Watches,Watches/Wrist Watches/Lenco Wrist Watches/,Watches/Wrist Watches/Lenco Wrist Watches//,Watches/Wrist Watches/Lenco Wrist Watches///
32,Watches,Watches/Wrist Watches,Watches/Wrist Watches/D'Signer Wrist Watches,Watches/Wrist Watches/D'Signer Wrist Watches/,Watches/Wrist Watches/D'Signer Wrist Watches//,Watches/Wrist Watches/D'Signer Wrist Watches///
