,Validation_Set,Topics,Alpha,Beta,Coherence
0,75% Corpus,5,0.01,0.01,0.635002352498104
1,75% Corpus,5,0.01,0.31,0.6035020021071598
2,75% Corpus,5,0.01,0.61,0.5695246399279462
3,75% Corpus,5,0.01,0.9099999999999999,0.5943434703936786
4,75% Corpus,5,0.01,symmetric,0.627946856904501
5,75% Corpus,5,0.31,0.01,0.6167322764372376
6,75% Corpus,5,0.31,0.31,0.597630957854639
7,75% Corpus,5,0.31,0.61,0.5875062673634787
8,75% Corpus,5,0.31,0.9099999999999999,0.5653825589055715
9,75% Corpus,5,0.31,symmetric,0.6029737824117513
10,75% Corpus,5,0.61,0.01,0.6181431199157658
11,75% Corpus,5,0.61,0.31,0.6180400487505487
12,75% Corpus,5,0.61,0.61,0.5593087779480994
13,75% Corpus,5,0.61,0.9099999999999999,0.5399426351402752
14,75% Corpus,5,0.61,symmetric,0.6076589518335384
15,75% Corpus,5,0.9099999999999999,0.01,0.64791242134208
16,75% Corpus,5,0.9099999999999999,0.31,0.6502468473621252
17,75% Corpus,5,0.9099999999999999,0.61,0.6186405825902599
18,75% Corpus,5,0.9099999999999999,0.9099999999999999,0.5879198370732849
19,75% Corpus,5,0.9099999999999999,symmetric,0.6374226441961967
20,75% Corpus,5,symmetric,0.01,0.6360075370077958
21,75% Corpus,5,symmetric,0.31,0.5980402825862915
22,75% Corpus,5,symmetric,0.61,0.583376600628797
23,75% Corpus,5,symmetric,0.9099999999999999,0.5848955135536804
24,75% Corpus,5,symmetric,symmetric,0.6411340483870974
25,75% Corpus,5,asymmetric,0.01,0.6434293595520957
26,75% Corpus,5,asymmetric,0.31,0.6603074005722102
27,75% Corpus,5,asymmetric,0.61,0.6536868671515049
28,75% Corpus,5,asymmetric,0.9099999999999999,0.6245309037319282
29,75% Corpus,5,asymmetric,symmetric,0.6528043392139186
30,75% Corpus,6,0.01,0.01,0.560690572941365
31,75% Corpus,6,0.01,0.31,0.6021426897243447
32,75% Corpus,6,0.01,0.61,0.5622554767799951
33,75% Corpus,6,0.01,0.9099999999999999,0.6056369082086069
34,75% Corpus,6,0.01,symmetric,0.5493633170163673
35,75% Corpus,6,0.31,0.01,0.5743661501673468
36,75% Corpus,6,0.31,0.31,0.5384498595962979
37,75% Corpus,6,0.31,0.61,0.5381180672078821
38,75% Corpus,6,0.31,0.9099999999999999,0.5898570265742427
39,75% Corpus,6,0.31,symmetric,0.5451708944306054
